ciudad,current,real_feal,air_quality,pollen,uv_index,precipitation,timestamp
"Tlajomulco de Zúñiga, Jalisco",80 °F,79°,44,moderate,11,Expect dry conditions for the next 6 hours.,2024-03-17 11:13:45
"Tlajomulco de Zúñiga, Jalisco",80 °F,79°,44,moderate,11,Expect dry conditions for the next 6 hours.,2024-03-17 11:13:50
"Tlajomulco de Zúñiga, Jalisco",80 °F,79°,44,moderate,11,Expect dry conditions for the next 6 hours.,2024-03-17 11:13:54
"Tlajomulco de Zúñiga, Jalisco",80 °F,79°,44,moderate,11,Expect dry conditions for the next 6 hours.,2024-03-17 11:13:57
"Tlajomulco de Zúñiga, Jalisco",80 °F,79°,44,moderate,11,Expect dry conditions for the next 6 hours.,2024-03-17 11:14:02
,,,44,moderate,11,Expect dry conditions for the next 6 hours.,2024-03-17 11:28:21
"Guadalajara, Jalisco",82 °F,81°,51,moderate,11,Expect dry conditions for the next 6 hours.,2024-03-17 11:37:31
"Zapopan, Jalisco",80 °F,79°,48,moderate,11,Expect dry conditions for the next 6 hours.,2024-03-17 11:37:47
"Tlaquepaque, Jalisco",80 °F,79°,51,moderate,11,Expect dry conditions for the next 6 hours.,2024-03-17 11:37:59
"Tonalá, Jalisco",83 °F,83°,52,moderate,10,Expect dry conditions for the next 6 hours.,2024-03-17 11:38:11
"Tlajomulco de Zúñiga, Jalisco",83 °F,80°,44,moderate,11,Expect dry conditions for the next 6 hours.,2024-03-17 11:38:26
"Guadalajara, Jalisco",82 °F,81°,51,moderate,11,Expect dry conditions for the next 6 hours.,2024-03-17 11:42:53
"Zapopan, Jalisco",80 °F,79°,48,moderate,11,Expect dry conditions for the next 6 hours.,2024-03-17 11:43:10
"Tlaquepaque, Jalisco",81 °F,80°,51,moderate,11,Expect dry conditions for the next 6 hours.,2024-03-17 11:43:23
"Tonalá, Jalisco",83 °F,83°,52,moderate,10,Expect dry conditions for the next 6 hours.,2024-03-17 11:43:38
